
タムさん、今日から学校ですね。, Tamu-san, kyoo kara gakkoo desu ne. Tam-san, your school starts today, doesn't it?, 
はい。, Hai. Yes. 
あらまあ！, Ara maa!, Oh!, どうしたんですか。, Doo shitan desu ka. What’s wrong?, 
日本語が心配です。, Nihongo ga shinpai desu. I’m nervous about my Japanese. 
タムさんは日本語、お上手ですよ。, Tamu-san wa Nihongo, ojoozu desu yo. Tam-san, your Japanese is fine. 
いいえ、まだまだです。, Iie, mada mada desu. No, it's not good enough. 
ベトナムで勉強したんでしょう？, Betonamu de benkyoo-shitan deshoo?, You studied it in Vietnam, right?, 
はい、ラジオで勉強しました。, Hai, rajio de benkyoo-shimashita. Yes, I studied by listening to the radio. 
それなら、大丈夫ですよ。, Sore nara, daijoobu desu yo. Then, you'll be OK.
,
今日, kyoo, toda
学校, gakkoo, school
はい, hai, yes
あらまあ, ara maa, oh
どう, doo, how
する, suru, do
日本語, Nihongo, Japanese language
心配（な）, shinpai (na), anxious
上手（な）, joozu (na), skillful
いいえ, iie, no
まだまだ, mada mada, not enough/not yet
ベトナム, Betonamu, Vietnam
勉強する, benkyoo-suru, stud
ラジオ, rajio, radio
それなら, sore nara, in that case
大丈夫（な）, daijoobu (na), OK
,
ラジオで勉強しました。, Rajio de benkyoo-shimashita. I studied by listening to the radio.
,
あ、日本語！　どうやって勉強しましたか。, A, Nihongo! Doo yatte benkyoo-shimashita ka. Oh, Japanese! How did you study?, 
インターネットで勉強しました。, Intaanetto de benkyoo-shimashita. I studied online.
,
いいえ、まだまだです。, Iie, mada mada desu. No, it's not good enough. 
